stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,level_id,platform_code
17204,Wallan Station,-37.416861,145.0053723,,vic:rail:WAN,1,Level 0,
19980,Melton Station,-37.70335908,144.5722158,,vic:rail:MEL,1,Level 0,
19981,Rockbank Station,-37.72919081,144.6507131,,vic:rail:RBK,1,Level 0,
19982,Deer Park Station,-37.77726729,144.7708312,,vic:rail:DEK,1,Level 0,
19998,Sunbury Station,-37.57914973,144.7280304,,vic:rail:SUY,1,Level 0,
20020,Ardeer Station,-37.7830262,144.801542,,vic:rail:ARR,1,Level 0,
20029,Craigieburn Station,-37.60227314,144.9431265,,vic:rail:CGB,1,Level 0,
20043,Southern Cross Station,-37.81838925,144.9520576,,vic:rail:SSS,1,Level 0,
20287,Albury Station,-36.08426161,146.9245154,,nsw:rail:ABY,1,Level 0,
20288,Ararat Station,-37.28220485,142.9369137,,vic:rail:ART,1,Level 0,
20289,Avenel Station,-36.89364778,145.229515,,vic:rail:AVL,1,Level 0,
20290,Bacchus Marsh Station,-37.68782809,144.4375023,,vic:rail:BAH,1,Level 0,
20291,Bairnsdale Station,-37.82877565,147.6273983,,vic:rail:BDE,1,Level 0,
20292,Ballan Station,-37.60429951,144.225448,,vic:rail:BLN,1,Level 0,
20293,Ballarat Station,-37.55865829,143.8595309,,vic:rail:BAT-V,1,Level 0,
20294,Beaufort Station,-37.42787497,143.3822337,,vic:rail:BET,1,Level 0,
20295,Benalla Station,-36.54455031,145.9839151,,vic:rail:BXA,1,Level 0,
20296,Bendigo Station,-36.76560312,144.2828545,,vic:rail:BGO,1,Level 0,
20297,Birregurra Station,-38.32880781,143.7836252,,vic:rail:BGE,1,Level 0,
20298,Broadford Station,-37.20731649,145.0429373,,vic:rail:BRF,1,Level 0,
20299,Bunyip Station,-38.09910771,145.7207575,,vic:rail:BYP,1,Level 0,
20300,Camperdown Station,-38.22890091,143.1509278,,vic:rail:CPD,1,Level 0,
20301,Castlemaine Station,-37.0628859,144.2139434,,vic:rail:CME,1,Level 0,
20302,Chiltern Station,-36.15563663,146.6113748,,vic:rail:CHI,1,Level 0,
20303,Clarkefield Station,-37.48355944,144.7453029,,vic:rail:CKF,1,Level 0,
20304,Colac Station,-38.34337792,143.5866531,,vic:rail:COL,1,Level 0,
20305,Corio Station,-38.07283126,144.3797684,,vic:rail:COR,1,Level 0,
20306,Dingee Station,-36.36923291,144.2311203,,vic:rail:DGE,1,Level 0,
20307,Donnybrook Station,-37.5420263,144.9701244,,vic:rail:DBK,1,Level 0,
20308,Drouin Station,-38.13637147,145.8560167,,vic:rail:DRN,1,Level 0,
20309,Eaglehawk Station,-36.71852539,144.2483799,,vic:rail:EAG-V,1,Level 0,
20310,Echuca Station,-36.131043,144.7533347,,vic:rail:ECH,1,Level 0,
20311,Elmore Station,-36.49483741,144.6076404,,vic:rail:EME,1,Level 0,
20312,Euroa Station,-36.7491306,145.5680886,,vic:rail:EOA,1,Level 0,
20313,Garfield Station,-38.09103062,145.6742247,,vic:rail:GAR-V,1,Level 0,
20314,Geelong Station,-38.14424211,144.3549891,,vic:rail:GEL,1,Level 0,
20315,Gisborne Station,-37.45900212,144.5989872,,vic:rail:GIS,1,Level 0,
20316,Heathcote Junction Station,-37.37166409,145.0279465,,vic:rail:HCJ,1,Level 0,
20317,Kangaroo Flat Station,-36.79483286,144.2489566,,vic:rail:KFT,1,Level 0,
20318,Kerang Station,-35.73312162,143.9244251,,vic:rail:KER,1,Level 0,
20319,Kilmore East Station,-37.29365111,144.9835204,,vic:rail:KET,1,Level 0,
20320,Kyneton Station,-37.25836427,144.4508016,,vic:rail:KYN,1,Level 0,
20321,Lara Station,-38.02242764,144.4144043,,vic:rail:LRA,1,Level 0,
20323,Little River Station,-37.96292909,144.4984849,,vic:rail:LRR,1,Level 0,
20324,Longwarry Station,-38.11099211,145.7668603,,vic:rail:LWY,1,Level 0,
20325,Macedon Station,-37.42366057,144.5612584,,vic:rail:MDN,1,Level 0,
20326,Malmsbury Station,-37.18977634,144.3753219,,vic:rail:MMY-V,1,Level 0,
20327,Marshall Station,-38.198549,144.3550567,,vic:rail:MAS,1,Level 0,
20328,Moe Station,-38.17690856,146.2605716,,vic:rail:MOE,1,Level 0,
20329,Mooroopna Station,-36.39912828,145.3582148,,vic:rail:MPA,1,Level 0,
20330,Morwell Station,-38.23671876,146.3967531,,vic:rail:MWL,1,Level 0,
20331,Murchison East Station,-36.61314794,145.2406356,,vic:rail:MST,1,Level 0,
20332,Nagambie Station,-36.7854641,145.1603567,,vic:rail:NGE,1,Level 0,
20333,Nar Nar Goon Station,-38.08150256,145.5717587,,vic:rail:NNG,1,Level 0,
20334,North Geelong Station,-38.12283523,144.3522719,,vic:rail:NGL,1,Level 0,
20335,North Shore Station,-38.09837714,144.3653214,,vic:rail:NSH,1,Level 0,
20336,Pyramid Station,-36.05311274,144.1131327,,vic:rail:PYD,1,Level 0,
20337,Riddells Creek Station,-37.46490085,144.6799507,,vic:rail:RIK,1,Level 0,
20338,Rochester Station,-36.36229401,144.698505,,vic:rail:ROR,1,Level 0,
20339,Rosedale Station,-38.15640367,146.7869664,,vic:rail:ROE,1,Level 0,
20341,Sale Station,-38.10310272,147.0548051,,vic:rail:SAE,1,Level 0,
20342,Seymour Station,-37.02439853,145.1385123,,vic:rail:SER,1,Level 0,
20343,Shepparton Station,-36.38381106,145.4059731,,vic:rail:SNH,1,Level 0,
20344,South Geelong Station,-38.15865863,144.3589871,,vic:rail:SOG,1,Level 0,
20345,Springhurst Station,-36.1858934,146.470417,,vic:rail:SHT,1,Level 0,
20346,Stratford Station,-37.96704739,147.0814695,,vic:rail:STD,1,Level 0,
20347,Swan Hill Station,-35.34111357,143.5623432,,vic:rail:SWL,1,Level 0,
20348,Tallarook Station,-37.0923313,145.1027949,,vic:rail:TOK,1,Level 0,
20349,Terang Station,-38.23621199,142.9114722,,vic:rail:TER,1,Level 0,
20350,Trafalgar Station,-38.2072423,146.1547728,,vic:rail:TAR,1,Level 0,
20351,Traralgon Station,-38.19854647,146.5389007,,vic:rail:TRN,1,Level 0,
20352,Tynong Station,-38.08488125,145.6284189,,vic:rail:TYN,1,Level 0,
20353,Violet Town Station,-36.63881606,145.7159235,,vic:rail:VTN,1,Level 0,
20355,Wandong Station,-37.35524821,145.026615,,vic:rail:WDG,1,Level 0,
20356,Wangaratta Station,-36.35510089,146.3170385,,vic:rail:WRT,1,Level 0,
20357,Warragul Station,-38.16478926,145.932829,,vic:rail:WGL,1,Level 0,
20358,Warrnambool Station,-38.38501396,142.475545,,vic:rail:WBL,1,Level 0,
20359,Winchelsea Station,-38.24013506,143.9841339,,vic:rail:WIA,1,Level 0,
20360,Wodonga Station,-36.1058271,146.8712657,,vic:rail:WOD,1,Level 0,
20361,Woodend Station,-37.35929126,144.5261788,,vic:rail:WNO,1,Level 0,
20362,Yarragon Station,-38.20315754,146.0630628,,vic:rail:YON,1,Level 0,
22238,Flinders Street Station,-37.81830513,144.9669644,,vic:rail:FSS,1,Level 0,
22239,North Melbourne Station,-37.80755595,144.9421684,,vic:rail:NME,1,Level 0,
22240,Footscray Station,-37.80157779,144.9021403,,vic:rail:FSY,1,Level 0,
22241,Sunshine Station,-37.78833946,144.8324638,,vic:rail:SUN,1,Level 0,
22244,Watergardens Station,-37.70097389,144.7740944,,vic:rail:WGS,1,Level 0,
22247,Richmond Station,-37.82407446,144.9901643,,vic:rail:RMD,1,Level 0,
22248,Caulfield Station,-37.87722507,145.0425196,,vic:rail:CFD,1,Level 1,
22249,Clayton Station,-37.92456781,145.1206852,,vic:rail:CLA,1,Level 0,
22250,Dandenong Station,-37.98996792,145.2097254,,vic:rail:DNG,1,Level 0,
22251,Berwick Station,-38.0395774,145.3449585,,vic:rail:BEW,1,Level 0,
22252,Pakenham Station,-38.08061383,145.4863677,,vic:rail:PKM,1,Level 0,
22253,Essendon Station,-37.75600088,144.9160957,,vic:rail:ESD,1,Level 0,
22254,Broadmeadows Station,-37.68295879,144.9195931,,vic:rail:BMS,1,Level 0,
22257,Sherwood Park Station,-38.38639224,142.5388712,,vic:rail:SDP,1,Level 0,
43469,Wendouree Station,-37.53973228,143.819999,,vic:rail:WED,1,Level 0,
44951,Creswick Station,-37.42460539,143.8881237,,vic:rail:CWK,1,Level 0,
44952,Clunes Station,-37.30273815,143.7820111,,vic:rail:CLU,1,Level 0,
44953,Maryborough Station,-37.05090849,143.7424023,,vic:rail:MBY,1,Level 0,
47482,Talbot Station,-37.17184115,143.706148,,vic:rail:TAT,1,Level 0,
47641,Waurn Ponds Station,-38.21595887,144.3064372,,vic:rail:WPP,1,Level 0,
47642,Epsom Station,-36.70675355,144.3209245,,vic:rail:EPM,1,Level 0,
47647,Wyndham Vale Station,-37.87288647,144.6087319,,vic:rail:WVL,1,Level 0,
47648,Tarneit Station,-37.83216813,144.6947144,,vic:rail:TNT,1,Level 0,
48804,Cobblebank Station,-37.71252223,144.6038477,,vic:rail:TLN,1,Level 0,
49295,Raywood Station,-36.53420922,144.2014149,,vic:rail:RAY,1,Level 0,
49296,Huntly Station,-36.66639019,144.3682582,,vic:rail:HUY,1,Level 0,
51809,Goornong Station,-36.61480046,144.5045598,,vic:rail:GRG,1,Level 0,
52011,Caroline Springs Station,-37.76609003,144.7357156,,vic:rail:RVH,1,Level 0,
nsw:rail:ABY,Albury Railway Station,-36.0850459,146.9243814,1,,1,,
vic:rail:ARR,Ardeer Railway Station,-37.78306529,144.8021881,1,,1,,
vic:rail:ART,Ararat Railway Station,-37.28224082,142.9369118,1,,1,,
vic:rail:AVL,Avenel Railway Station,-36.89364778,145.229515,1,,1,,
vic:rail:BAH,Bacchus Marsh Railway Station,-37.68757821,144.4367852,1,,1,,
vic:rail:BAT-V,Ballarat Railway Station,-37.55879148,143.8594574,1,,1,,
vic:rail:BDE,Bairnsdale Railway Station,-37.82872043,147.6276138,1,,1,,
vic:rail:BET,Beaufort Railway Station,-37.42762724,143.3823812,1,,1,,
vic:rail:BEW,Berwick Railway Station,-38.03998037,145.3454167,1,,1,,
vic:rail:BGE,Birregurra Railway Station,-38.32880781,143.7836252,1,,1,,
vic:rail:BGO,Bendigo Railway Station,-36.76566973,144.2830089,1,,1,,
vic:rail:BLN,Ballan Railway Station,-37.60429951,144.225448,1,,1,,
vic:rail:BMS,Broadmeadows Railway Station,-37.68304926,144.9196132,1,,1,,
vic:rail:BRF,Broadford Railway Station,-37.20720049,145.0430079,1,,1,,
vic:rail:BXA,Benalla Railway Station,-36.54455031,145.9839151,1,,1,,
vic:rail:BYP,Bunyip Railway Station,-38.09910771,145.7207575,1,,1,,
vic:rail:CFD,Caulfield Railway Station,-37.87745946,145.0425248,1,,1,,
vic:rail:CGB,Craigieburn Railway Station,-37.6019248,144.943306,1,,1,,
vic:rail:CHI,Chiltern Railway Station,-36.15563663,146.6113748,1,,1,,
vic:rail:CKF,Clarkefield Railway Station,-37.48349769,144.7453726,1,,1,,
vic:rail:CLA,Clayton Railway Station,-37.92468255,145.1205344,1,,1,,
vic:rail:CLU,Clunes Railway Station,-37.30301059,143.7820897,1,,1,,
vic:rail:CME,Castlemaine Railway Station,-37.06284167,144.2139788,1,,1,,
vic:rail:COL,Colac Railway Station,-38.34337792,143.5866531,1,,1,,
vic:rail:COR,Corio Railway Station,-38.07283126,144.3797684,1,,1,,
vic:rail:CPD,Camperdown Railway Station,-38.22890091,143.1509278,1,,1,,
vic:rail:CWK,Creswick Railway Station,-37.42460539,143.8881237,1,,1,,
vic:rail:DBK,Donnybrook Railway Station,-37.54202766,144.9702036,1,,1,,
vic:rail:DEK,Deer Park Railway Station,-37.77728102,144.7710806,1,,1,,
vic:rail:DGE,Dingee Railway Station,-36.36923291,144.2311203,1,,1,,
vic:rail:DNG,Dandenong Railway Station,-37.98996792,145.2097254,1,,1,,
vic:rail:DRN,Drouin Railway Station,-38.1364519,145.8559469,1,,1,,
vic:rail:EAG-V,Eaglehawk Railway Station,-36.71852539,144.2483799,1,,1,,
vic:rail:ECH,Echuca Railway Station,-36.13098223,144.7534587,1,,1,,
vic:rail:EME,Elmore Railway Station,-36.49502002,144.6077575,1,,1,,
vic:rail:EOA,Euroa Railway Station,-36.74918387,145.5680204,1,,1,,
vic:rail:EPM,Epsom Railway Station,-36.70628781,144.3210526,1,,1,,
vic:rail:ESD,Essendon Railway Station,-37.7560117,144.9161975,1,,1,,
vic:rail:FSS,Flinders Street Railway Station,-37.81830513,144.9669644,1,,1,,
vic:rail:FSY,Footscray Railway Station,-37.80141343,144.9020201,1,,1,,
vic:rail:GAR-V,Garfield Railway Station,-38.09103062,145.6742247,1,,1,,
vic:rail:GEL,Geelong Railway Station ,-38.14470898,144.3549152,1,,1,,
vic:rail:GIS,Gisborne Railway Station,-37.4588255,144.5987216,1,,1,,
vic:rail:GRG,Goornong Railway Station,-36.61518327,144.5034742,1,,1,,
vic:rail:HCJ,Heathcote Junction Railway Station,-37.37172322,145.0282499,1,,1,,
vic:rail:HUY,Huntly Railway Station,-36.66584794,144.3698205,1,,1,,
vic:rail:KER,Kerang Railway Station,-35.73312162,143.9244251,1,,1,,
vic:rail:KET,Kilmore East Station,-37.29321027,144.983566,1,,1,,
vic:rail:KFT,Kangaroo Flat Railway Station,-36.79483364,144.2489902,1,,1,,
vic:rail:KYN,Kyneton Railway Station,-37.25827885,144.4506016,1,,1,,
vic:rail:LRA,Lara Railway Station,-38.02242764,144.4144043,1,,1,,
vic:rail:LRR,Little River Railway Station,-37.96292909,144.4984849,1,,1,,
vic:rail:LWY,Longwarry Railway Station,-38.11099211,145.7668603,1,,1,,
vic:rail:MAS,Marshall Railway Station,-38.198549,144.3550567,1,,1,,
vic:rail:MBY,Maryborough Railway Station,-37.05090849,143.7424023,1,,1,,
vic:rail:MDN,Macedon Railway Station,-37.42357331,144.5613969,1,,1,,
vic:rail:MEL,Melton Railway Station,-37.70347382,144.5720986,1,,1,,
vic:rail:MMY-V,Malmsbury Railway Station,-37.18974032,144.3753232,1,,1,,
vic:rail:MOE,Moe Railway Station,-38.17689039,146.260549,1,,1,,
vic:rail:MPA,Mooroopna Railway Station,-36.39912828,145.3582148,1,,1,,
vic:rail:MST,Murchison East Railway Station,-36.61314794,145.2406356,1,,1,,
vic:rail:MWL,Morwell Railway Station,-38.23674592,146.3967757,1,,1,,
vic:rail:NGE,Nagambie Railway Station,-36.7854641,145.1603567,1,,1,,
vic:rail:NGL,North Geelong Railway Station,-38.12268295,144.3523116,1,,1,,
vic:rail:NME,North Melbourne Railway Station,-37.80630984,144.9415102,1,,1,,
vic:rail:NNG,Nar Nar Goon Railway Station,-38.08159155,145.5716657,1,,1,,
vic:rail:NSH,North Shore Railway Station,-38.09837714,144.3653214,1,,1,,
vic:rail:PKM,Pakenham Railway Station,-38.08061397,145.4863791,1,,1,,
vic:rail:PYD,Pyramid Railway Station,-36.0534147,144.1133215,1,,1,,
vic:rail:RAY,Raywood Railway Station,-36.53195927,144.201161,1,,1,,
vic:rail:RBK,Rockbank Railway Station,-37.72926127,144.6506315,1,,1,,
vic:rail:RIK,Riddells Creek Railway Station,-37.46512379,144.6798307,1,,1,,
vic:rail:RMD,Richmond Railway Station,-37.82407446,144.9901643,1,,1,,
vic:rail:ROE,Rosedale Railway Station,-38.15640367,146.7869664,1,,1,,
vic:rail:ROR,Rochester Railway Station,-36.3623605,144.6986813,1,,1,,
vic:rail:RVH,Caroline Springs Railway Station,-37.76612649,144.7357372,1,,1,,
vic:rail:SAE,Sale Railway Station,-38.10310272,147.0548051,1,,1,,
vic:rail:SDP,Sherwood Park Railway Station,-38.38638239,142.5388489,1,,1,,
vic:rail:SER,Seymour Railway Station,-37.02472873,145.1377286,1,,1,,
vic:rail:SHT,Springhurst Railway Station,-36.1858934,146.470417,1,,1,,
vic:rail:SNH,Shepparton Railway Station,-36.38379101,145.4064975,1,,1,,
vic:rail:SOG,South Geelong Railway Station,-38.15865863,144.3589871,1,,1,,
vic:rail:SSS,Southern Cross Railway Station,-37.8186631,144.9527771,1,,1,,
vic:rail:STD,Stratford Railway Station,-37.96704739,147.0814695,1,,1,,
vic:rail:SUN,Sunshine Railway Station,-37.78853633,144.8328782,1,,1,,
vic:rail:SUY,Sunbury Railway Station,-37.57928396,144.727981,1,,1,,
